feature,importance
days_since_last_message,22.014433754330977
recency_days,13.212721475919627
msg_event_count__click,8.865546533274978
msg_event_count__open,6.473882864866282
customer_age_days,6.236620780628508
msg_event_count__unsubscribe,4.733647400443843
top_category,4.396580594210631
avg_amount_per_cat,3.828511501533882
top_category_count,3.5240888800997197
frequency,3.334915616138818
top_3_categories,2.723109967965353
n_transactions,2.659245354004028
avg_price,2.520775003788607
total_quantity,2.4325194094479388
n_messages,2.2329170408559964
total_amount,2.063395791274432
msg_event_count__send,1.7799031378912815
avg_amount_per_tx,1.7743984133132717
msg_event_count__hbq_spam,1.4252249572836564
msg_event_count__purchase,1.280687918570031
msg_event_count__soft_bounce,1.0716499623016775
msg_event_count__hard_bounce,0.7065130956382222
unique_category_count,0.5181347359206004
msg_event_count__subscribe,0.10761721771511447
msg_event_count__complain,0.0829398341181988
msg_event_count__close,1.8758464324327538e-05
ever_bought,0.0
